名称,图片,价格,车款,车型信息链接
宝来,http://img2.bitautoimg.com/autoalbum/files/20190102/242/0319542422_6.png,9.88-15.60万,"
                        共12个车款符合
                        >
                    ",http://car.bitauto.com/xinbaolai/
朗逸,http://img4.bitautoimg.com/autoalbum/files/20191203/135/0340111354_6.jpg,9.99-16.19万,"
                        共26个车款符合
                        >
                    ",http://car.bitauto.com/langyi/
速腾,http://img2.bitautoimg.com/autoalbum/files/20190122/561/1056225614_6.png,12.89-19.19万,"
                        共32个车款符合
                        >
                    ",http://car.bitauto.com/suteng/
桑塔纳,http://img4.bitautoimg.com/autoalbum/files/20190102/343/0954043434_6.png,8.69-11.59万,"
                        共14个车款符合
                        >
                    ",http://car.bitauto.com/sangtana/
迈腾,http://img1.bitautoimg.com/autoalbum/files/20191218/868/1119248681_6.jpg,18.61-30.99万,"
                        共24个车款符合
                        >
                    ",http://car.bitauto.com/maiteng/
探岳,http://img2.bitautoimg.com/autoalbum/files/20191203/330/0341563309_6.jpg,18.59-31.39万,"
                        共18个车款符合
                        >
                    ",http://car.bitauto.com/tanrong/
凌渡,http://img1.bitautoimg.com/autoalbum/files/20190102/771/0331377716_6.png,14.29-19.69万,"
                        共10个车款符合
                        >
                    ",http://car.bitauto.com/lingdu/
途岳,http://img2.bitautoimg.com/autoalbum/files/20190114/700/0426047002_6.png,16.58-22.38万,"
                        共15个车款符合
                        >
                    ",http://car.bitauto.com/tharu/
高尔夫,http://img2.bitautoimg.com/autoalbum/files/20180802/560/0312155601_6.jpg,14.13-23.42万,"
                        共12个车款符合
                        >
                    ",http://car.bitauto.com/gaoerfu6dai/
帕萨特,http://img1.bitautoimg.com/autoalbum/files/20190122/686/0929086865_6.png,18.49-28.29万,"
                        共28个车款符合
                        >
                    ",http://car.bitauto.com/pasate/
途观L,http://img4.bitautoimg.com/autoalbum/files/20190104/175/0310091757_6.png,21.88-31.18万,"
                        共20个车款符合
                        >
                    ",http://car.bitauto.com/tuguanl/
途昂,http://img3.bitautoimg.com/autoalbum/files/20190102/298/0407052987_6.png,29.99-50.59万,"
                        共16个车款符合
                        >
                    ",http://car.bitauto.com/teramont/
途铠,http://img2.bitautoimg.com/autoalbum/files/20190314/804/0324388049_6.png,11.49-15.99万,"
                        共9个车款符合
                        >
                    ",http://car.bitauto.com/tcross/
探歌,http://img4.bitautoimg.com/autoalbum/files/20190102/642/1013046423_6.png,13.58-20.38万,"
                        共11个车款符合
                        >
                    ",http://car.bitauto.com/dazhongtroc/
一汽-大众CC,http://img1.bitautoimg.com/autoalbum/files/20190102/268/0322402685_6.png,24.68-30.18万,"
                        共8个车款符合
                        >
                    ",http://car.bitauto.com/cc-2932/
探影,http://img1.bitautoimg.com/autoalbum/files/20191028/545/1021325456_6.jpg,11.49-15.99万,"
                        共8个车款符合
                        >
                    ",http://car.bitauto.com/tcross-5705/
途观,http://img1.bitautoimg.com/autoalbum/files/20181213/999/0143029995_6.jpg,19.48-23.18万,"
                        共4个车款符合
                        >
                    ",http://car.bitauto.com/tiguan/
探岳X,http://img1.bitautoimg.com/autoalbum/files/20200619/889/0415468894_6.jpg,23.58-29.58万,"
                        共4个车款符合
                        >
                    ",http://car.bitauto.com/tanyuex/
Polo,http://img1.bitautoimg.com/autoalbum/files/20190624/639/0943156395_6.jpg,9.99-12.39万,"
                        共4个车款符合
                        >
                    ",http://car.bitauto.com/boluo/
途昂X,http://img1.bitautoimg.com/autoalbum/files/20190416/056/1215330566_6.jpg,28.99-43.99万,"
                        共13个车款符合
                        >
                    ",http://car.bitauto.com/tuangx/
辉昂,http://img2.bitautoimg.com/autoalbum/files/20190102/382/0958523823_6.png,34.00-63.90万,"
                        共10个车款符合
                        >
                    ",http://car.bitauto.com/dazhongphideon-4791/
途锐,http://img3.bitautoimg.com/autoalbum/files/20180911/623/0542406239_6.png,56.98-82.18万,"
                        共7个车款符合
                        >
                    ",http://car.bitauto.com/dazhongturui/
威然,http://img2.bitautoimg.com/autoalbum/files/20200417/884/0409028847_6.jpg,28.68-39.98万,"
                        共4个车款符合
                        >
                    ",http://car.bitauto.com/dazhongviloran/
途安L,http://img2.bitautoimg.com/autoalbum/files/20190102/868/0957468688_6.png,15.18-19.48万,"
                        共12个车款符合
                        >
                    ",http://car.bitauto.com/tuanl/
蔚领,http://img3.bitautoimg.com/autoalbum/files/20181015/661/0702536610_6.png,12.59-14.97万,"
                        共3个车款符合
                        >
                    ",http://car.bitauto.com/dazhongctrek/
甲壳虫,http://img2.bitautoimg.com/autoalbum/files/20180802/414/1155234146_6.png,17.88-25.58万,"
                        共6个车款符合
                        >
                    ",http://car.bitauto.com/dazhongjiakechong/
高尔夫·嘉旅,http://img3.bitautoimg.com/autoalbum/files/20190114/038/0417080388_6.png,12.88-19.28万,"
                        共16个车款符合
                        >
                    ",http://car.bitauto.com/gaoerfujialv/
高尔夫(进口),http://img3.bitautoimg.com/autoalbum/files/20190322/481/0305294819_6.png,20.98-37.28万,"
                        共2个车款符合
                        >
                    ",http://car.bitauto.com/gaoerfu-3509/
帕萨特 插电混动,http://img3.bitautoimg.com/autoalbum/files/20190122/077/0932250776_6.png,24.39-25.39万,"
                        共4个车款符合
                        >
                    ",http://car.bitauto.com/pasatechadianhundong/
途观L 插电混动,http://img4.bitautoimg.com/autoalbum/files/20180927/073/0409530731_6.png,26.58-32.58万,"
                        共4个车款符合
                        >
                    ",http://car.bitauto.com/tuguanlchadianhundong/
探岳GTE 插电混动,http://img3.bitautoimg.com/autoalbum/files/20200414/529/0201435292_6.jpg,24.98-25.98万,"
                        共3个车款符合
                        >
                    ",http://car.bitauto.com/tanyuegte/
Tiguan,http://img1.bitautoimg.com/autoalbum/files/20180802/160/0459231608_6.png,23.98-35.08万,"
                        共4个车款符合
                        >
                    ",http://car.bitauto.com/dazhongtiguan/
蔚揽,http://img2.bitautoimg.com/autoalbum/files/20181010/893/0543208937_6.png,24.38-39.28万,"
                        共4个车款符合
                        >
                    ",http://car.bitauto.com/weilan-4722/
朗逸纯电,http://img2.bitautoimg.com/autoalbum/files/20190326/692/0551096920_6.png,14.89万,"
                        共4个车款符合
                        >
                    ",http://car.bitauto.com/langyichundian/
迈腾GTE 插电混动,http://img2.bitautoimg.com/autoalbum/files/20200102/851/0312518518_6.jpg,25.39-26.89万,"
                        共2个车款符合
                        >
                    ",http://car.bitauto.com/maitenggte/
夏朗,http://img1.bitautoimg.com/autoalbum/files/20180802/637/1155526374_6.png,24.68-34.38万,"
                        共12个车款符合
                        >
                    ",http://car.bitauto.com/dazhongxialang/
宝来·纯电,http://img4.bitautoimg.com/autoalbum/files/20190322/458/0327234589_6.png,13.68-14.68万,"
                        共2个车款符合
                        >
                    ",http://car.bitauto.com/baolaichundiandong/
迈特威,http://img1.bitautoimg.com/autoalbum/files/20190305/656/0517366561_6.png,42.80-50.68万,"
                        共2个车款符合
                        >
                    ",http://car.bitauto.com/dazhongmultivan/
凯路威,http://img2.bitautoimg.com/autoalbum/files/20180810/466/1203504668_6.png,35.50-38.20万,"
                        共2个车款符合
                        >
                    ",http://car.bitauto.com/kailuwei/
高尔夫·纯电,http://img2.bitautoimg.com/autoalbum/files/20190322/261/0301332617_6.png,14.77-16.88万,"
                        共2个车款符合
                        >
                    ",http://car.bitauto.com/gaoerfuchundian/
蔚揽 插电混动,http://img1.bitautoimg.com/autoalbum/files/20181218/969/1159409695_6.png,30.18万,"
                        共1个车款符合
                        >
                    ",http://car.bitauto.com/weilanchadianhundong/
高尔夫 纯电动(进口),http://img2.bitautoimg.com/autoalbum/files/20200415/621/0223256216_6.jpg,24.08万,"
                        共1个车款符合
                        >
                    ",http://car.bitauto.com/gaoerfuchundiandong/
途锐 插电混动,http://img4.bitautoimg.com/autoalbum/files/20190528/026/0617560266_6.jpg,暂无,"
                        共1个车款符合
                        >
                    ",http://car.bitauto.com/turuichadianhundong/
Polo(海外),http://img4.bitautoimg.com/autoalbum/files/20190624/498/0943064989_6.jpg,暂无,"
                        共1个车款符合
                        >
                    ",http://car.bitauto.com/polohaiwai/